question,winner,3layer_score,baseline_score
"I am nervous about asking her out, what if she says no?",3-layer Model,47,41
How do I tell if hes actually interested in me?,3-layer Model,43,37
I cannot stop smiling whenever I see his name on my phone.,3-layer Model,44,39
Why did she ghost me after such a great first date?,3-layer Model,43,40
I hate how jealous I get when he talks to other girls.,3-layer Model,43,38
Whats the best way to calm firstâdate jitters?,3-layer Model,44,39
I feel so inadequate compared to her exes.,3-layer Model,44,37
He remembered my favorite movieâshould I be excited?,3-layer Model,47,37
Why do I panic when he takes too long to reply?,3-layer Model,43,40
How do I rebuild trust after he lied about his past?,3-layer Model,45,37
Im so proud that she introduced me to her friends.,3-layer Model,43,37
What do I do if he brings up his ex on date two?,3-layer Model,46,41
I feel disgusted by how flaky she is.,3-layer Model,44,39
How can I show genuine excitement without seeming desperate?,3-layer Model,42,38
He canceled againâam I being dramatic?,3-layer Model,44,38
Im terrified of getting hurt again.,3-layer Model,46,40
Why do I trust him so quickly when Ive been burned before?,3-layer Model,45,42
How can I surprise her in a thoughtful way?,3-layer Model,44,39
Im so angry he flaked on our anniversary.,3-layer Model,43,37
Should I be worried if shes too quiet on our date?,3-layer Model,45,36
I love how comfortable I feel around him.,3-layer Model,42,39
He didnt text back for three hoursâwhats going on?,3-layer Model,42,38
I feel lonely even when were together.,3-layer Model,44,36
How do I handle butterflies without freaking out?,3-layer Model,44,39
Im frustrated that shes always late.,3-layer Model,44,39
He winked at meâdoes that mean something?,3-layer Model,43,37
Im anxious about meeting her parents.,3-layer Model,44,36
How can I hide my disappointment when he cancels?,3-layer Model,44,35
I feel hopeful after our great conversation.,3-layer Model,43,34
What do I do if I get butterflies but dont want to act weird?,3-layer Model,45,40
Im furious she lied about her job.,3-layer Model,44,39
How can I surprise him on Valentines Day?,3-layer Model,42,34
Im upset that he didnt notice my new haircut.,3-layer Model,45,38
Why does my heart race when I see his text?,3-layer Model,45,38
I feel disgusted by the lies I told to impress her.,3-layer Model,47,37
What if I mess up our first kiss?,3-layer Model,47,41
Im thrilled he finally asked me out.,3-layer Model,42,37
How do I cope when she keeps comparing me to her ex?,Base Model (GPT-4o),42,42
Im nervous about meeting him in person.,3-layer Model,46,40
What do I do if she seems distant lately?,3-layer Model,44,39
He made me breakfast in bedâshould I be touched?,3-layer Model,43,36
Im annoyed by his constant teasing.,3-layer Model,43,39
How can I stay calm when I really like her?,3-layer Model,43,37
Im heartbroken after our argument last night.,3-layer Model,42,33
What if he doesnt like me back?,3-layer Model,44,37
Im excited for our weekend getaway.,3-layer Model,43,32
Why do I feel so foolish after my bad joke?,3-layer Model,38,35
I feel hopeful but also terrified of commitment.,3-layer Model,44,37
How do I rebuild my confidence after rejection?,3-layer Model,45,39
Im grateful he listened to me vent.,3-layer Model,43,38
