Question,Emotions
"I am nervous about asking her out, what if she says no?","Fear, Anticipation"
How do I tell if hes actually interested in me?,"Uncertainty ,Sadness (worry), Trust (hope)"
I cannot stop smiling whenever I see his name on my phone.,Joy
Why did she ghost me after such a great first date?,"Surprise, Sadness"
I hate how jealous I get when he talks to other girls.,"Anger, Sadness"
Whats the best way to calm first‐date jitters?,"Fear, Trust"
I feel so inadequate compared to her exes.,"Sadness, Disgust (self�directed)"
He remembered my favorite movie—should I be excited?,"Joy, Anticipation"
Why do I panic when he takes too long to reply?,"Fear, Sadness"
How do I rebuild trust after he lied about his past?,"Sadness, Anticipation"
Im so proud that she introduced me to her friends.,"Joy, Trust"
What do I do if he brings up his ex on date two?,"Surprise, Sadness"
I feel disgusted by how flaky she is.,"Disgust, Anger"
How can I show genuine excitement without seeming desperate?,"Joy, Anticipation"
He canceled again—am I being dramatic?,"Sadness, Fear"
Im terrified of getting hurt again.,"Fear, Sadness"
Why do I trust him so quickly when Ive been burned before?,"Trust, Fear"
How can I surprise her in a thoughtful way?,"Anticipation, Joy"
Im so angry he flaked on our anniversary.,"Anger, Sadness"
Should I be worried if shes too quiet on our date?,"Fear, Sadness"
I love how comfortable I feel around him.,"Trust, Joy"
He didnt text back for three hours—whats going on?,"Fear, Surprise"
I feel lonely even when were together.,"Sadness, Disgust (self�directed)"
How do I handle butterflies without freaking out?,"Fear, Joy"
Im frustrated that shes always late.,"Anger, Sadness"
He winked at me—does that mean something?,"Surprise, Trust"
Im anxious about meeting her parents.,"Fear, Anticipation"
How can I hide my disappointment when he cancels?,"Sadness, Fear"
I feel hopeful after our great conversation.,"Trust, Joy"
What do I do if I get butterflies but dont want to act weird?,"Fear, Anticipation"
Im furious she lied about her job.,"Anger, Sadness"
How can I surprise him on Valentines Day?,"Joy, Anticipation"
Im upset that he didnt notice my new haircut.,"Sadness, Anger"
Why does my heart race when I see his text?,"Joy, Fear"
I feel disgusted by the lies I told to impress her.,"Disgust, Sadness"
What if I mess up our first kiss?,"Fear, Anticipation"
Im thrilled he finally asked me out.,"Joy, Surprise"
How do I cope when she keeps comparing me to her ex?,"Sadness, Anger"
Im nervous about meeting him in person.,"Fear, Anticipation"
What do I do if she seems distant lately?,"Sadness, Fear"
He made me breakfast in bed—should I be touched?,"Joy, Trust"
Im annoyed by his constant teasing.,"Anger, Surprise"
How can I stay calm when I really like her?,"Fear, Trust"
Im heartbroken after our argument last night.,Sadness
What if he doesnt like me back?,"Fear, Sadness"
Im excited for our weekend getaway.,"Joy, Anticipation"
Why do I feel so foolish after my bad joke?,"Sadness, Disgust"
I feel hopeful but also terrified of commitment.,"Anticipation, Fear"
How do I rebuild my confidence after rejection?,"Sadness, Trust"
Im grateful he listened to me vent.,"Trust, Joy"
